pickup_zip,dropoff_zip,distance_miles
57233,48875,634.3
48875,57233,634.3
57233,44502,882.2
44502,57233,882.2
57233,75287,794.5
75287,57233,794.5
57233,97416,1313.6
97416,57233,1313.6
57233,95646,1235.4
95646,57233,1235.4
57233,72661,610.7
72661,57233,610.7
57233,91762,1298.6
91762,57233,1298.6
57233,19560,1131.7
19560,57233,1131.7
57233,66851,434.5
66851,57233,434.5
57233,53150,477.5
53150,57233,477.5
57233,56304,178.3
56304,57233,178.3
57233,6389,1290.7
6389,57233,1290.7
57233,51563,222.1
51563,57233,222.1
57233,46055,669.8
46055,57233,669.8
57233,17936,1100.9
17936,57233,1100.9
57233,16151,895.0
16151,57233,895.0
57233,49323,594.8
49323,57233,594.8
57233,82646,482.1
82646,57233,482.1
57233,2464,1320.5
2464,57233,1320.5
57233,2188,1335.4
2188,57233,1335.4
57233,30281,1034.1
30281,57233,1034.1
57233,41265,895.3
41265,57233,895.3
57233,94063,1377.8
94063,57233,1377.8
57233,79014,612.4
79014,57233,612.4
57233,31031,1102.8
31031,57233,1102.8
57233,35006,939.5
35006,57233,939.5
57233,97345,1240.1
97345,57233,1240.1
57233,75494,808.4
75494,57233,808.4
57233,73639,611.6
73639,57233,611.6
57233,59425,736.6
59425,57233,736.6
57233,90058,1325.0
90058,57233,1325.0
57233,30666,1036.1
30666,57233,1036.1
57233,81062,547.2
81062,57233,547.2
57233,76308,737.4
76308,57233,737.4
57233,64433,325.8
64433,57233,325.8
57233,24014,1041.8
24014,57233,1041.8
57233,96106,1229.3
96106,57233,1229.3
57233,12577,1195.2
12577,57233,1195.2
57233,52077,315.2
52077,57233,315.2
57233,60654,524.7
60654,57233,524.7
57233,90266,1338.0
90266,57233,1338.0
57233,53065,442.9
53065,57233,442.9
57233,78363,1177.3
78363,57233,1177.3
57233,14150,930.7
14150,57233,930.7
57233,11225,1220.4
11225,57233,1220.4
57233,11207,1223.2
11207,57233,1223.2
57233,18709,1110.3
18709,57233,1110.3
57233,87730,682.4
87730,57233,682.4
57233,23055,1099.8
23055,57233,1099.8
57233,5346,1243.7
5346,57233,1243.7
57233,45827,707.9
45827,57233,707.9
57233,68430,268.0
68430,57233,268.0
57233,97141,1286.5
97141,57233,1286.5
57233,20748,1125.6
20748,57233,1125.6
57233,95975,1273.4
95975,57233,1273.4
57233,78632,1022.1
78632,57233,1022.1
57233,53928,417.8
53928,57233,417.8
57233,76934,907.0
76934,57233,907.0
57233,38869,835.9
38869,57233,835.9
57233,13674,1060.0
13674,57233,1060.0
57233,61571,483.8
61571,57233,483.8
57233,60560,496.0
60560,57233,496.0
57233,84029,836.9
84029,57233,836.9
57233,65775,612.3
65775,57233,612.3
57233,16036,928.5
16036,57233,928.5
57233,19145,1178.6
19145,57233,1178.6
57233,29493,1189.3
29493,57233,1189.3
57233,45005,755.2
45005,57233,755.2
57233,30106,1003.8
30106,57233,1003.8
57233,10465,1223.0
10465,57233,1223.0
57233,83121,687.9
83121,57233,687.9
57233,41833,913.9
41833,57233,913.9
57233,38751,843.5
38751,57233,843.5
57233,18816,1100.0
18816,57233,1100.0
57233,16803,1023.3
16803,57233,1023.3
57233,76034,801.6
76034,57233,801.6
57233,17343,1075.6
17343,57233,1075.6
57233,8009,1195.4
8009,57233,1195.4
57233,61433,458.7
61433,57233,458.7
57233,49048,618.1
49048,57233,618.1
57233,58707,318.4
58707,57233,318.4
57233,19956,1201.5
19956,57233,1201.5
57233,37397,898.6
37397,57233,898.6
57233,66524,406.7
66524,57233,406.7
57233,7833,1160.0
7833,57233,1160.0
57233,96080,1308.9
96080,57233,1308.9
57233,60464,520.1
60464,57233,520.1
57233,60470,501.0
60470,57233,501.0
57233,78724,980.4
78724,57233,980.4
57233,32066,1263.0
32066,57233,1263.0
57233,74880,633.5
74880,57233,633.5
57233,70776,1041.4
70776,57233,1041.4
57233,8846,1195.6
8846,57233,1195.6
57233,64441,325.8
64441,57233,325.8
57233,13687,1112.4
13687,57233,1112.4
57233,50173,294.2
50173,57233,294.2
57233,97396,1279.3
97396,57233,1279.3
57233,15690,947.0
15690,57233,947.0
57233,98057,1206.9
98057,57233,1206.9
57233,87753,717.7
87753,57233,717.7
57233,84013,804.5
84013,57233,804.5
57233,95237,1305.1
95237,57233,1305.1
57233,63010,554.8
